Sheep,Image,Lacunarity,Entropy,FociCount,Directionality,TissueToSinusoid
6,5,0.102886779,0.604364557,7,0.088931976,0.35182702
6,34,0.102697478,0.609316409,7,0.095446582,0.361400752
6,131,0.106171853,0.581954155,14,0.287867217,0.320432033
6,49,0.113151217,0.589910803,10,0.054008802,0.33798342
6,17,0.089677227,0.611589858,7,0.129806578,0.363501798
6,115,0.123199306,0.600497303,5,0.235170915,0.354701728
6,22,0.094108207,0.607542336,11,0.078353133,0.353304003
6,144,0.103784371,0.59133864,14,0.12831603,0.33033213
6,21,0.096093234,0.607197337,8,0.024902312,0.353423504
6,56,0.093007751,0.609444966,10,0.186741629,0.353319171
6,89,0.078132998,0.623996192,9,0.20379048,0.374955123
6,76,0.088667699,0.600259027,10,0.161353457,0.332202495
6,101,0.09933215,0.603521246,11,0.151127673,0.344326579
6,103,0.108250423,0.590477874,9,0.106338974,0.33009943
6,33,0.084481005,0.622757582,15,0.22727621,0.378536965
6,73,0.089976779,0.620087867,9,0.219821643,0.37600392
6,118,0.101030379,0.602187563,8,0.179284157,0.34992971
7,97,0.074357581,0.612221317,10,0.279643358,0.341995188
7,74,0.069651509,0.60020254,10,0.252709884,0.321956447
7,50,0.06984658,0.615437235,8,0.295595531,0.346383518
7,2,0.067180782,0.616965014,10,0.304171221,0.349010302
7,39,0.067920364,0.600068034,11,0.274524144,0.32238917
7,49,0.068637961,0.613421512,9,0.30914941,0.343839694
7,65,0.0792514,0.61704045,6,0.308789772,0.354147191
7,15,0.099027762,0.602347474,5,0.313129632,0.336005583
7,51,0.095319848,0.600993334,9,0.358803574,0.335929774
7,99,0.078949056,0.612830591,15,0.346561164,0.349230046
7,31,0.069079067,0.598088316,11,0.318298501,0.325214181
7,14,0.083502086,0.607814584,12,0.365697375,0.338331892
7,64,0.073586734,0.611409947,11,0.349086839,0.341148601
7,96,0.063488176,0.610998418,10,0.312986786,0.335938805
7,87,0.064959897,0.597555251,10,0.244957297,0.318625776
7,52,0.096913889,0.619984365,11,0.320131898,0.373055102
7,98,0.084162817,0.605710431,13,0.386762542,0.340435213
7,1,0.073465345,0.609938047,6,0.24998072,0.339688221
7,75,0.06181681,0.602762709,11,0.240271562,0.324754611
8,40,0.109424044,0.615789384,7,0.1954858,0.380070326
8,1,0.068103824,0.620380129,14,0.528242823,0.348764932
8,1,0.068103824,0.620380129,14,0.528242823,0.336651825
8,1,0.068103824,0.620380129,14,0.208486556,0.348764932
8,1,0.068103824,0.620380129,14,0.208486556,0.336651825
8,1,0.068103824,0.620380129,18,0.528242823,0.348764932
8,1,0.068103824,0.620380129,18,0.528242823,0.336651825
8,1,0.068103824,0.620380129,18,0.208486556,0.348764932
8,1,0.068103824,0.620380129,18,0.208486556,0.336651825
8,1,0.068103824,0.591245975,14,0.528242823,0.348764932
8,1,0.068103824,0.591245975,14,0.528242823,0.336651825
8,1,0.068103824,0.591245975,14,0.208486556,0.348764932
8,1,0.068103824,0.591245975,14,0.208486556,0.336651825
8,1,0.068103824,0.591245975,18,0.528242823,0.348764932
8,1,0.068103824,0.591245975,18,0.528242823,0.336651825
8,1,0.068103824,0.591245975,18,0.208486556,0.348764932
8,1,0.068103824,0.591245975,18,0.208486556,0.336651825
8,1,0.117695377,0.620380129,14,0.528242823,0.348764932
8,1,0.117695377,0.620380129,14,0.528242823,0.336651825
8,1,0.117695377,0.620380129,14,0.208486556,0.348764932
8,1,0.117695377,0.620380129,14,0.208486556,0.336651825
8,1,0.117695377,0.620380129,18,0.528242823,0.348764932
8,1,0.117695377,0.620380129,18,0.528242823,0.336651825
8,1,0.117695377,0.620380129,18,0.208486556,0.348764932
8,1,0.117695377,0.620380129,18,0.208486556,0.336651825
8,1,0.117695377,0.591245975,14,0.528242823,0.348764932
8,1,0.117695377,0.591245975,14,0.528242823,0.336651825
8,1,0.117695377,0.591245975,14,0.208486556,0.348764932
8,1,0.117695377,0.591245975,14,0.208486556,0.336651825
8,1,0.117695377,0.591245975,18,0.528242823,0.348764932
8,1,0.117695377,0.591245975,18,0.528242823,0.336651825
8,1,0.117695377,0.591245975,18,0.208486556,0.348764932
8,1,0.117695377,0.591245975,18,0.208486556,0.336651825
8,18,0.118091733,0.611630758,12,0.22174144,0.371273757
8,11,0.092348297,0.62016949,10,0.632255631,0.38305084
8,46,0.064013559,0.634110377,13,0.48961914,0.375538981
8,39,0.076682605,0.637742459,10,0.176072065,0.401917411
8,19,0.070567954,0.625372195,9,0.505319509,0.35839482
8,47,0.063970161,0.630830725,10,0.455647573,0.370217324
8,27,0.070161046,0.62022355,11,0.575807962,0.347896601
8,29,0.056231765,0.60735861,10,0.612142791,0.325024144
8,28,0.068116707,0.61284215,9,0.644208876,0.332865971
9,6,0.082482812,0.643474139,13,0.35547275,0.428485883
9,12,0.055915353,0.641845091,21,0.546619989,0.379837867
9,2,0.060263549,0.648017355,14,0.561132442,0.394213197
9,1,0.06604396,0.645749077,16,0.398252646,0.408438615
9,20,0.067469109,0.647916913,9,0.395633313,0.415056812
10,35,0.099486555,0.604397994,5,0.273237926,0.337714575
10,49,0.060130752,0.632571907,7,0.396415021,0.368639474
10,59,0.127773083,0.587848532,11,0.240991958,0.326112965
10,58,0.10576489,0.600848524,10,0.264713279,0.331814107
11,64,0.075645375,0.572432841,8,0.175786283,0.291501302
11,144,0.144725708,0.54570473,14,0.143007346,0.286665082
11,159,0.143150223,0.542850192,8,0.165251365,0.27993616
11,20,0.105802186,0.609377137,9,0.191150991,0.355298748
11,34,0.106540057,0.563853402,12,0.084198404,0.289730476
11,62,0.085716985,0.564916471,7,0.170909653,0.288683649
11,131,0.087956041,0.545146411,11,0.062847702,0.257740139
11,93,0.113086263,0.582854769,8,0.064021654,0.31479069
11,78,0.098206533,0.553510219,11,0.126161255,0.279301444
11,63,0.087295206,0.574003316,11,0.134190803,0.290229076
11,161,0.070128363,0.562954602,9,0.078379551,0.272814525
11,48,0.063573575,0.575872643,9,0.203286102,0.288921231
11,92,0.074372964,0.586328807,8,0.155630456,0.304962358
11,49,0.099057432,0.590516512,10,0.270282926,0.320801715
11,121,0.126834929,0.577888154,10,0.119417698,0.31856566
11,32,0.111195991,0.591965485,8,0.121639433,0.330076506
11,143,0.108311969,0.585626336,7,0.102948307,0.326334348
11,145,0.149562684,0.522510448,10,0.095540026,0.252432925
11,106,0.132583284,0.546658514,5,0.203887471,0.284203883
11,162,0.135978337,0.543132558,11,0.174322743,0.265194267
11,94,0.113435272,0.613910004,5,0.259456623,0.373441717
11,160,0.142638123,0.542159519,16,0.144959533,0.278918079
11,108,0.10224047,0.591609633,12,0.106863736,0.323980459
11,18,0.136583151,0.597891996,10,0.082047569,0.350650463
11,2,0.099128418,0.566320812,12,0.105315295,0.291649004
11,120,0.085671288,0.612923244,12,0.12568196,0.3585286
11,21,0.093205284,0.587276521,11,0.120289434,0.3185573
11,33,0.107407971,0.58631308,8,0.117711063,0.324146025
11,1,0.106955862,0.593664315,6,0.165431423,0.329386957
11,19,0.102033127,0.606043845,9,0.103695237,0.357047402
11,77,0.077098031,0.585332424,15,0.12348373,0.307002103
11,4,0.101479751,0.580434378,7,0.100276708,0.309490942
11,35,0.103624562,0.562172339,13,0.058168676,0.284529582
11,79,0.090431435,0.604473756,8,0.236428295,0.338402223
11,107,0.112130377,0.560707365,9,0.151521051,0.288988964
11,47,0.072276855,0.566654938,14,0.111178761,0.2797106
11,3,0.122599396,0.565403396,11,0.118043565,0.309460088
12,118,0.08559649,0.597083707,8,0.269850192,0.334487549
12,69,0.117221834,0.614936274,11,0.324466321,0.389156196
12,141,0.092392775,0.641501034,15,0.253944996,0.465613356
12,80,0.110819583,0.612125526,10,0.334968792,0.374910233
12,116,0.066666866,0.62345526,12,0.248403177,0.36366945
12,167,0.163710921,0.598007671,10,0.183379491,0.432915626
12,150,0.100968585,0.610841225,16,0.320880902,0.358649168
12,152,0.116023929,0.588747731,10,0.307078557,0.34355385
12,165,0.129570959,0.604244405,15,0.345988859,0.373307621
12,71,0.134211034,0.594443863,10,0.279389396,0.374506832
12,202,0.085806303,0.636045342,12,0.162822355,0.418422815
12,181,0.075910417,0.637155206,12,0.230209504,0.407580995
12,191,0.096467963,0.609123621,8,0.199052165,0.36515127
12,117,0.090794581,0.599312693,11,0.287701288,0.334638737
12,201,0.123904078,0.591447682,16,0.224155925,0.350711439
12,83,0.113493663,0.578948076,9,0.320956321,0.323550199
12,178,0.092581242,0.606640462,12,0.213002417,0.353951435
12,67,0.062730214,0.642897792,9,0.514257003,0.398090673
12,82,0.084453401,0.616794703,15,0.285929162,0.360308791
12,193,0.117859985,0.60594072,13,0.209015994,0.382639439
12,164,0.117691192,0.622834157,10,0.218582048,0.423896509
12,166,0.082835998,0.608054928,16,0.268285827,0.347931197
12,179,0.061095563,0.620333553,12,0.221471512,0.351495907
12,95,0.128076672,0.582638518,9,0.188643479,0.333965157
12,104,0.121103474,0.603722094,19,0.189079345,0.371015048
12,151,0.081048605,0.606026221,11,0.259067987,0.340764856
12,192,0.089747612,0.610615446,11,0.189644503,0.358425043
12,70,0.105321813,0.614253752,8,0.240147374,0.378815904
12,180,0.071125987,0.618931042,9,0.263460843,0.353551753
12,68,0.106422039,0.622888137,13,0.282668618,0.397002937
12,81,0.055188222,0.632037208,12,0.580374696,0.361093846
12,103,0.150823742,0.613612851,9,0.111607732,0.474990753
13,250,0.088483802,0.598762183,9,0.45215223,0.325704289
13,257,0.063985316,0.600619931,12,0.388892155,0.321667189
13,249,0.085619041,0.59954896,9,0.269536801,0.329854689
13,224,0.112336167,0.608871325,10,0.282315321,0.347492188
13,217,0.070982196,0.621569855,14,0.284115331,0.352657123
13,240,0.088319562,0.601543347,9,0.47369688,0.331223363
13,256,0.104564354,0.594299193,10,0.41686759,0.321525053
13,233,0.076171866,0.597666851,11,0.457449259,0.321373143
13,232,0.08682974,0.591450097,12,0.321149212,0.316634154
14,113,0.099549442,0.600381973,8,0.220110767,0.329906539
14,95,0.094378108,0.596875121,6,0.07997134,0.331246925
14,53,0.057405634,0.594649901,9,0.244631705,0.311358611
14,96,0.125593307,0.616153683,4,0.059179897,0.391859393
14,141,0.105753607,0.571623165,5,0.103073969,0.298531122
14,112,0.076804881,0.594115989,6,0.414409231,0.314602099
14,157,0.150973176,0.583901049,16,0.173412085,0.352345575
14,32,0.089302531,0.60570099,8,0.144539215,0.340775335
14,51,0.103618384,0.585962212,5,0.177837268,0.31344717
14,31,0.075914315,0.619367514,3,0.145045486,0.354841793
14,144,0.116386436,0.598993854,8,0.07714779,0.349008439
14,19,0.092336081,0.600507596,5,0.221282608,0.327333866
14,30,0.078061055,0.596383471,5,0.380058299,0.322529057
14,4,0.107358313,0.596352581,5,0.222349315,0.329316305
14,143,0.129316144,0.593655162,12,0.133695128,0.339125103
14,155,0.186896847,0.566087929,12,0.178383584,0.347190175
14,98,0.089088706,0.596425795,3,0.14087283,0.328156322
14,52,0.101060878,0.601736838,10,0.228782661,0.341774908
14,129,0.069876746,0.609367509,7,0.247282079,0.333342549
14,100,0.08816285,0.617535424,7,0.061936206,0.363989446
14,125,0.091763684,0.621508674,12,0.182235701,0.376500069
14,142,0.079456149,0.584313892,7,0.087210524,0.305989081
14,140,0.094454139,0.581291416,7,0.091828585,0.306376707
14,18,0.075329134,0.595481616,6,0.41822732,0.322249213
14,67,0.097383116,0.607958748,6,0.286398921,0.36150317
14,68,0.104826402,0.574817119,9,0.244985434,0.304785058
14,99,0.09107494,0.61993693,4,0.046781723,0.367312615
14,114,0.096730668,0.619981635,6,0.082573179,0.373600095
14,3,0.090188293,0.575883634,4,0.449705157,0.296197551
14,126,0.113591958,0.597635936,7,0.080662264,0.349518711
14,5,0.071786684,0.618582664,4,0.184310061,0.353585678
14,2,0.082426884,0.599582541,4,0.219828646,0.322655108
14,44,0.091411455,0.576116148,9,0.372659211,0.294155764
14,54,0.083699962,0.581039902,11,0.162896334,0.30095975
14,65,0.073572967,0.602355246,7,0.261700368,0.326787488
14,80,0.110258095,0.615030329,5,0.124724855,0.376411002
14,82,0.120541542,0.608899168,10,0.198483199,0.393423579
14,1,0.072921031,0.59249531,6,0.385847552,0.315982757
14,17,0.083609355,0.61413482,6,0.31109791,0.349481617
14,81,0.113227352,0.598333822,3,0.231358273,0.339283771
14,94,0.088827729,0.599969288,3,0.193074354,0.339941312
14,111,0.110414406,0.613816752,11,0.194866725,0.373541794
14,66,0.08413949,0.589027455,12,0.322758976,0.318893045
14,127,0.1116748,0.603157434,4,0.154919502,0.345766583
14,128,0.069310835,0.617311258,7,0.19373132,0.348713772
14,97,0.12071111,0.616856873,12,0.089345675,0.379902127
14,50,0.061183156,0.596079674,11,0.36887676,0.315337418
15,138,0.160223054,0.57811854,7,0.184198463,0.326999954
15,95,0.096636789,0.613868433,5,0.230012528,0.359298498
15,30,0.088674114,0.619513041,11,0.067665293,0.376668705
15,70,0.07837492,0.628908641,14,0.205033531,0.389310599
15,109,0.101733564,0.623421132,13,0.164577107,0.40331911
15,96,0.090806015,0.628735507,8,0.157030613,0.402069063
15,111,0.11516495,0.596609907,7,0.242469434,0.33990917
15,124,0.093720397,0.628463567,10,0.168453104,0.407446622
15,58,0.0916189,0.603423831,12,0.200888427,0.337678327
15,2,0.088526786,0.599355968,10,0.103893981,0.331101236
15,57,0.093756518,0.624009342,8,0.121414316,0.392307738
15,1,0.083785011,0.612580126,9,0.066057113,0.349198798
15,17,0.104267358,0.612498643,11,0.197704122,0.369821375
15,3,0.073236329,0.628862634,12,0.084761,0.377180437
15,125,0.095728079,0.614430127,10,0.199202446,0.362368385
15,29,0.085461804,0.603219501,12,0.241854665,0.336865959
15,82,0.109489335,0.611872884,11,0.08026272,0.371899874
15,83,0.099007255,0.616187058,11,0.085614879,0.38154074
15,42,0.086915132,0.622433764,9,0.051113961,0.382270463
15,16,0.096804963,0.622400455,5,0.135854073,0.389144057
15,123,0.094610377,0.614480439,9,0.240998267,0.365909136
15,108,0.134123828,0.592802798,9,0.254006586,0.34695768
